Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
Jun 14 2018,6342.75,6707.14,6334.46,6675.35,5138710000,108408000000,6520.80
Jun 13 2018,6596.88,6631.66,6285.63,6349.90,5052350000,112740000000,6458.65
Jun 12 2018,6905.82,6907.96,6542.08,6582.36,4654380000,118007000000,6725.02
Jun 11 2018,6799.29,6910.18,6706.63,6906.92,4745270000,116175000000,6808.41
Jun 10 2018,7499.55,7499.55,6709.07,6786.02,5804840000,128128000000,7104.31
Jun 09 2018,7632.52,7683.58,7531.98,7531.98,3845220000,130386000000,7607.78
Jun 08 2018,7685.14,7698.19,7558.40,7624.92,4227580000,131271000000,7628.30
Jun 07 2018,7650.82,7741.27,7650.82,7678.24,4485800000,130671000000,7696.05
Jun 06 2018,7625.97,7680.43,7502.01,7653.98,4692260000,130233000000,7591.22
Jun 05 2018,7500.90,7643.23,7397.00,7633.76,4961740000,128081000000,7520.11
Jun 04 2018,7722.53,7753.82,7474.04,7514.47,4993170000,131847000000,7613.93
Jun 03 2018,7632.09,7754.89,7613.04,7720.25,4851760000,130288000000,7683.97
Jun 02 2018,7536.72,7695.83,7497.26,7643.45,4939300000,128645000000,7596.55
Jun 01 2018,7500.70,7604.73,7407.34,7541.45,4921460000,128014000000,7506.03
May 31 2018,7406.15,7608.90,7361.13,7494.17,5127130000,126386000000,7485.01
May 30 2018,7469.73,7573.77,7313.60,7406.52,4922540000,127454000000,7443.69
May 29 2018,7129.46,7526.42,7090.68,7472.59,5662660000,121636000000,7308.55
May 28 2018,7371.31,7419.05,7100.89,7135.99,5040600000,125748000000,7259.97
May 27 2018,7362.08,7381.74,7270.96,7368.22,4056520000,125575000000,7326.35
May 26 2018,7486.48,7595.16,7349.12,7355.88,4051540000,127682000000,7472.14
May 25 2018,7592.30,7659.14,7392.65,7480.14,4867830000,129470000000,7525.90
May 24 2018,7561.12,7738.60,7331.14,7587.34,6049220000,128925000000,7534.87
May 23 2018,8037.08,8054.66,7507.88,7557.82,6491120000,137024000000,7781.27
May 22 2018,8419.87,8423.25,8004.58,8041.78,5137010000,143534000000,8213.92
May 21 2018,8522.33,8557.52,8365.12,8418.99,5154990000,145264000000,8461.32
May 20 2018,8246.99,8562.41,8205.24,8513.25,5191060000,140556000000,8383.83
May 19 2018,8255.73,8372.06,8183.35,8247.18,4712400000,140689000000,8277.70
May 18 2018,8091.83,8274.12,7974.82,8250.97,5764190000,137881000000,8124.47
May 17 2018,8370.05,8445.54,8054.12,8094.32,5862530000,142608000000,8249.83
May 16 2018,8504.41,8508.43,8175.49,8368.83,6760220000,144878000000,8341.96
May 15 2018,8705.19,8836.19,8456.45,8510.38,6705710000,148283000000,8646.32
May 14 2018,8713.10,8881.12,8367.97,8716.79,7364150000,148403000000,8624.55
May 13 2018,8515.49,8773.55,8395.12,8723.94,5866380000,145022000000,8584.33
